,Names,Region,Era,Area
1657,Francisco Varela,,20thcentury,
1658,Vasubandhu,TimelineEastern#Japanese,1stthrough10thcenturies,
1659,Vatsyayana,TimelineEastern#Japanese,1stthrough10thcenturies,
1660,Emerich de Vattel,,18thcentury,
1661,Gianni Vattimo,Italian,20thcentury,
1662,Vauvenargues,,18thcentury,
1663,Gabriel Vazquez,,,
1664,John Venn,,19thcentury,logicians
1665,Henry Babcock Veatch,American,20thcentury,ethicists
1666,Nicoletto Vernia,Italian,15thand16thcenturies,
1667,Giambattista Vico,Italian,17thcentury,"['Indexsociopoliticalthinkers', 'epistemologists']"
1668,Milan Vidmar,,19thcentury,
1669,Álvaro Vieira Pinto,,,
1670,Michel Villey,,20thcentury,
1671,Vital Du Four,,11ththrough14thcenturies,
1672,Francisco de Vitoria,Catholicandtheologians,15thand16thcenturies,ethicists
1673,Swami Vivekananda,TimelineEastern#Japanese,,ethicists
1674,Juan Luís Vives,,15thand16thcenturies,
1675,Gregory Vlastos,,20thcentury,
1676,Eric Voegelin,American,20thcentury,"['Indexsociopoliticalthinkers', 'politicaltheorists']"
1677,Carl Vogt,,,
1678,Valentin Voloshinov,,,
1679,Voltaire,French,17thcentury,Indexsociopoliticalthinkers
1680,Georg Henrik von Wright,Finnish,20thcentury,logicians
1681,Lev Vygotsky,,19thcentury,
1682,Boris Petrovich Vysheslavtsev,,19thcentury,
1683,Jean Wahl,French,19thcentury,
1684,Friedrich Waismann,,19thcentury,
1685,Alfred Russel Wallace,,19thcentury,
1686,Michael Walzer,,20thcentury,"['political', 'politicaltheorists']"
1687,Ernest Wamba dia Wamba,,20thcentury,Indexsociopoliticalthinkers
1688,Wang Bi,TimelineEastern#Japanese,1stthrough10thcenturies,
1689,Wang Ch'ung,,1stthrough10thcenturies,
1690,Wang Fuzhi,TimelineEastern#Japanese,17thcentury,
1691,Hao Wang,TimelineEastern#Japanese,20thcentury,logicians
1692,Wang Yangming,TimelineEastern#Japanese,15thand16thcenturies,
1693,James Ward,British,19thcentury,
1694,Geoffrey J. Warnock,,20thcentury,
1695,Mary Warnock,,20thcentury,
1696,John B. Watson,,19thcentury,
1697,Watsuji Tetsuro,TimelineEastern#Japanese,19thcentury,
1698,Alan Watts,British,20thcentury,
1699,Max Weber,German-language,19thcentury,"['political', 'Indexsociopoliticalthinkers']"
1700,Éric Weil,French,,
1701,Simone Weil,French,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
1702,Ota Weinberger,,,
1703,Otto Weininger,German-language,19thcentury,ethicists
1704,Christian Hermann Weisse,German-language,19thcentury,
1705,"Victoria, Lady Welby",,19thcentury,
1706,Felix Weltsch,,19thcentury,
1707,Cornel West,American,20thcentury,Indexsociopoliticalthinkers
1708,Edvard Westermarck,Finnish,19thcentury,
1709,Hermann Weyl,German-language,19thcentury,
1710,Frantisek Weyr,,19thcentury,
1711,William Whewell,British,18thcentury,ethicists
1712,Benjamin Whichcote,,17thcentury,
1713,Alan R. White,,,
1714,Thomas White,,15thand16thcenturies,
1715,Alfred North Whitehead,British,19thcentury,"['logicians', 'metaphysicians']"
1716,David Wiggins,British,20thcentury,metaphysicians
1717,William of Alnwick,Catholicandtheologians,11ththrough14thcenturies,
1718,"William of Auvergne, Bishop of Paris",Muslim,11ththrough14thcenturies,
1719,William of Auxerre,,11ththrough14thcenturies,
1720,William of Champeaux,,11ththrough14thcenturies,
1721,William of Conches,,11ththrough14thcenturies,
1722,William of Moerbeke,,11ththrough14thcenturies,
1723,William of Shyreswood,,,
1724,Bernard Williams,British,20thcentury,"['political', 'ethicists']"
1725,Donald Cary Williams,,,metaphysicians
1726,Raymond Williams,,,
1727,Timothy Williamson,British,20thcentury,
1728,Colin Wilson,,,metaphysicians
1729,John Cook Wilson,British,19thcentury,
1730,Peter Winch,,20thcentury,
1731,Wilhelm Windelband,German-language,19thcentury,
1732,Kwasi Wiredu,,20thcentury,
1733,John Wisdom,British,20thcentury,
1734,John Witherspoon,,18thcentury,
1735,Stanisław Ignacy Witkiewicz,,,
1736,Ludwig Wittgenstein,German-language,19thcentury,"['logicians', 'metaphysicians', 'epistemologists']"
1737,Adam de Wodeham,,11ththrough14thcenturies,
1738,Christian Wolff,German-language,17thcentury,"['logicians', 'metaphysicians']"
1739,William Wollaston,,17thcentury,ethicists
1740,Richard Wollheim,British,20thcentury,aestheticians
1741,Mary Wollstonecraft,,18thcentury,"['political', 'politicaltheorists']"
1742,Nicholas Wolterstorff,American,20thcentury,
1743,Wonchuk,,1stthrough10thcenturies,
1744,Wonhyo Daisa,,1stthrough10thcenturies,
1745,Woo Tsin-hang,,19thcentury,
1746,Chauncey Wright,American,19thcentury,
1747,Crispin Wright,British,20thcentury,
1748,Dorothy Maud Wrinch,,19thcentury,
1749,Jerzy Wróblewski,,20thcentury,
1750,Wilhelm Wundt,German-language,19thcentury,
1751,John Wyclif,,11ththrough14thcenturies,
1752,Xenocrates,ancientGreek,centuriesBC,ethicists
1753,Xenophon,ancientGreek,centuriesBC,political
1754,Xun Zi,,centuriesBC,"['political', 'Indexsociopoliticalthinkers']"
1755,Yajnavalkya,TimelineEastern#Japanese,centuriesBC,political
1756,Yang Chu,,centuriesBC,
1757,Yang Xiong,TimelineEastern#Japanese,centuriesBC,
1758,Yen Yuan,TimelineEastern#Japanese,17thcentury,
1759,Yi Hwang,Korean,15thand16thcenturies,
1760,Yi I,Korean,15thand16thcenturies,Indexsociopoliticalthinkers
1761,Yi Kan,,17thcentury,
1762,Francis Parker Yockey,,20thcentury,Indexsociopoliticalthinkers
1763,Paul Yorck von Wartenburg,,,
1764,Arthur M. Young,American,20thcentury,
1765,Iris Marion Young,American,20thcentury,Indexsociopoliticalthinkers
1766,Pavel Yudin,,,
1767,Jacopo Zabarella,Italian,15thand16thcenturies,logicians
1768,Edward N. Zalta,,20thcentury,
1769,Peter Wessel Zapffe,,19thcentury,
1770,Zeami Motokiyo,TimelineEastern#Japanese,11ththrough14thcenturies,
1771,Mao Zedong,TimelineEastern#Japanese,19thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
1772,Eduard Zeller,German-language,19thcentury,
1773,Zeno of Citium,ancientGreek,centuriesBC,metaphysicians
1774,Zeno of Elea,Italian,centuriesBC,metaphysicians
1775,Zeno of Sidon,ancientGreek,centuriesBC,
1776,Zeno of Tarsus,ancientGreek,centuriesBC,
1777,Dewi Zephaniah Phillips,,,
1778,Ernst Zermelo,,19thcentury,logicians
1779,Philip Zhai,,,
1780,Zhiyi,TimelineEastern#Japanese,1stthrough10thcenturies,
1781,Zhou Guoping,Chinese,20thcentury,
1782,Zhu Xi,TimelineEastern#Japanese,11ththrough14thcenturies,
1783,Zhuang Zi,,centuriesBC,
1784,Slavoj Žižek,Slovene,20thcentury,"['political', 'Indexsociopoliticalthinkers']"
1785,Florian Znaniecki,,19thcentury,
1786,Zongmi,TimelineEastern#Japanese,1stthrough10thcenturies,
1787,Zou Yan,TimelineEastern#Japanese,centuriesBC,
1788,Xavier Zubiri,Catholicandtheologians,19thcentury,metaphysicians
