,Names,Region,Era,Area
477,Ralph Waldo Emerson,American,19thcentury,aestheticians
478,Empedocles,Italian,centuriesBC,metaphysicians
479,Friedrich Engels,German-language,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
480,Epicharmus,,centuriesBC,
481,Epictetus,ancientGreek,1stthrough10thcenturies,
482,Epicurus,ancientGreek,centuriesBC,"['metaphysicians', 'ethicists']"
483,Desiderius Erasmus,Catholicandtheologians,15thand16thcenturies,
484,Johannes Scotus Eriugena,,1stthrough10thcenturies,
485,Rudolf Christoph Eucken,,19thcentury,ethicists
486,Eudoxus of Cnidus,ancientGreek,centuriesBC,
487,Eusebius of Caesarea,,1stthrough10thcenturies,
488,Gareth Evans,British,20thcentury,
489,Emil Fackenheim,,20thcentury,
490,Thome H. Fang,,19thcentury,
491,Frantz Fanon,French,20thcentury,"['political', 'politicaltheorists']"
492,Al-Farabi,Muslim,1stthrough10thcenturies,"['metaphysicians', 'political']"
493,Michael Faraday,,,
494,Michelangelo Fardella,,17thcentury,
495,Raimundo de Farias Brito,,,
496,Austin Marsden Farrer,,20thcentury,
497,Fazang,TimelineEastern#Japanese,1stthrough10thcenturies,
498,Gustav Fechner,German-language,19thcentury,
499,Andrew Feenberg,,20thcentury,
500,Herbert Feigl,,20thcentury,
501,Joel Feinberg,American,20thcentury,
502,José Pablo Feinmann,,,
503,Valentin Feldman,,,aestheticians
504,Margaret Fell,,,
505,François de Salignac de la Mothe-Fénelon,,17thcentury,
506,Feng Youlan,TimelineEastern#Japanese,19thcentury,
507,Adam Ferguson,,18thcentury,
508,Ann Ferguson,,20thcentury,
509,Jose Ferrater-Mora,,,
510,Luigi Ferri,Italian,,
511,James Frederick Ferrier,,19thcentury,epistemologists
512,Ludwig Feuerbach,,19thcentury,
513,Paul Feyerabend,,20thcentury,
514,Johann Gottlieb Fichte,German-language,18thcentury,
515,Marsilio Ficino,Italian,15thand16thcenturies,
516,Hartry Field,American,20thcentury,logicians
517,Robert Filmer,,15thand16thcenturies,
518,J. N. Findlay,,20thcentury,
519,Eugen Fink,,20thcentury,
520,John Finnis,Catholicandtheologians,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
521,Kuno Fischer,,19thcentury,
522,Ronald Fisher,,,
523,John Fiske,American,19thcentury,
524,Richard FitzRalph,,,
525,Ludwik Fleck,,,
526,Pavel Aleksandrovich Florenskii,,19thcentury,
527,Georges Florovsky,Russian,19thcentury,
528,Robert Fludd,,15thand16thcenturies,
529,Jerry Fodor,American,20thcentury,epistemologists
530,Robert J. Fogelin,,,
531,Dagfinn Føllesdal,,20thcentury,
532,Benjamin Fondane,,,
533,Pedro da Fonseca,,15thand16thcenturies,
534,Bernard le Bovier de Fontenelle,,17thcentury,
535,Philippa Foot,British,20thcentury,ethicists
536,David Fordyce,,18thcentury,
537,Michel Foucault,French,20thcentury,"['aestheticians', 'Indexsociopoliticalthinkers', 'political']"
538,Simon Foucher,French,17thcentury,
539,Alfred Fouillée,French,,
540,Charles Fourier,French,18thcentury,political
541,Francis of Marchia,,11ththrough14thcenturies,
542,Francis of Meyronnes,,11ththrough14thcenturies,
543,Sebastian Franck,,,
544,Jerome Frank,,19thcentury,
545,Erich Frank,,,
546,Semën Liudvigovich Frank,,19thcentury,
547,William K. Frankena,,20thcentury,ethicists
548,Harry Gordon Frankfurt,,,
549,Benjamin Franklin,,18thcentury,"['political', 'politicaltheorists']"
550,Michael Frede,,20thcentury,
551,Gottlob Frege,German-language,19thcentury,"['logicians', 'metaphysicians']"
552,Hans Frei,,,
553,Paulo Freire,,,
554,Sigmund Freud,,19thcentury,
